171,上帝之城,9.0,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,307205人评价,被上帝抛弃了的上帝之城。
172,风之谷,8.9,导演: 宫崎骏 Hayao Miyazaki,1984,361909人评价,动画片的圣经。
173,爱在午夜降临前,8.9,导演: 理查德·林克莱特 Richard Linklater,2013,416572人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
174,纵横四海,8.8,导演: 吴宇森 John Woo,1991,436608人评价,香港浪漫主义警匪动作片的巅峰之作。
175,海街日记,8.8,导演: 是枝裕和 Hirokazu Koreeda,2015,461905人评价,是枝裕和的家庭习作。
176,绿里奇迹,8.9,导演: 弗兰克·德拉邦特 Frank Darabont,1999,342627人评价,天使暂时离开。
177,卢旺达饭店,8.9,导演: 特瑞·乔治 Terry George,2004,337938人评价,当这个世界闭上双眼，他却敞开了怀抱。
178,小丑,8.7,导演: 托德·菲利普斯 Todd Phillips,2019,1032154人评价,一个针管引发的血案。
180,背靠背，脸对脸,9.5,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,142058人评价,中国版《两杆大烟枪》。
183,雨中曲,9.1,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,233992人评价,骨灰级歌舞片。
184,2001太空漫游,8.9,导演: 斯坦利·库布里克 Stanley Kubrick,1968,342756人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
185,岁月神偷,8.7,导演: 罗启锐 Alex Law,2010,582583人评价,岁月流逝，来日可追。
186,无间道2,8.7,导演: 刘伟强 / 麦兆辉,2003,495209人评价,养狗三日，便会对你终其一生。
188,荒蛮故事,8.8,导演: 达米安·斯兹弗隆 Damián Szifron,2014,454157人评价,始于荒诞，止于更荒诞。
189,小偷家族,8.7,导演: 是枝裕和 Hirokazu Koreeda,2018,828748人评价,我们组成了家。
190,无敌破坏王,8.7,导演: 瑞奇·莫尔 Rich Moore,2012,556012人评价,迪士尼和皮克斯拿错剧本的产物。
191,爆裂鼓手,8.7,导演: 达米恩·查泽雷 Damien Chazelle,2014,604747人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
192,冰川时代,8.6,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,631191人评价,松鼠才是角儿。
193,恐怖游轮,8.5,导演: 克里斯托弗·史密斯 Christopher Smith,2009,890015人评价,不要企图在重复中寻找已经失去的爱。
194,牯岭街少年杀人事件,8.9,导演: 杨德昌 Edward Yang,1991,312422人评价,弱者送给弱者的一刀。
195,贫民窟的百万富翁,8.6,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,758919人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
196,东京教父,9.0,导演: 今敏 Satoshi Kon,2003,242871人评价,电影诗。
198,魔女宅急便,8.7,导演: 宫崎骏 Hayao Miyazaki,1989,471759人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
199,遗愿清单,8.7,导演: 罗伯·莱纳 Rob Reiner,2007,477304人评价,用剩余不多的时间，去燃烧整个生命。
200,大佛普拉斯,8.7,导演: 黄信尧 Hsin-yao Huang,2017,476235人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
201,你看起来好像很好吃,8.9,导演: 藤森雅也 Masaya Fujimori,2010,341557人评价,感情不分食草或者食肉。
202,可可西里,8.9,导演: 陆川 Chuan Lu,2004,311265人评价,坚硬的信仰。
203,黑天鹅,8.6,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,794510人评价,黑暗之美。
204,城市之光,9.3,导演: Charles Chaplin,1931,151977人评价,永远的小人物，伟大的卓别林。
205,真爱至上,8.5,导演: 理查德·柯蒂斯 Richard Curtis,2003,752592人评价,爱，是个动词。
206,源代码,8.5,导演: 邓肯·琼斯 Duncan Jones,2011,852929人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
207,海边的曼彻斯特,8.6,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016,563988人评价,我们都有权利不与自己的过去和解。
208,雨人,8.7,导演: 巴瑞·莱文森 Barry Levinson,1988,412159人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
209,波西米亚狂想曲,8.6,导演: 布莱恩·辛格 Bryan Singer,2018,622381人评价,没有了退路，只好飞向自由。
213,人工智能,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001,457500人评价,对爱的执着，可以超越一切。
214,恋恋笔记本,8.5,导演: 尼克·卡索维茨 Nick Cassavetes,2004,687867人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
215,虎口脱险,8.9,导演: 杰拉尔·乌里 Gérard Oury,1966,264867人评价,永远看不腻的喜剧。
216,疯狂的麦克斯4：狂暴之路,8.7,导演: 乔治·米勒 George Miller,2015,544251人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
217,终结者2：审判日,8.8,导演: 詹姆斯·卡梅隆 James Cameron,1991,349593人评价,少见的超越首部的续集，动作片中的经典。
218,爱乐之城,8.4,导演: 达米恩·查泽雷 Damien Chazelle,2016,962682人评价,人生的N种可能性。
220,新龙门客栈,8.7,导演: 李惠民 Raymond Lee,1992,456774人评价,嬉笑怒骂，调风动月。
221,芙蓉镇,9.3,导演: 谢晋 Jin Xie,1987,149199人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
223,千钧一发,8.8,导演: 安德鲁·尼科尔 Andrew Niccol,1997,309788人评价,一部能引人思考的科幻励志片。
226,萤火虫之墓,8.7,导演: 高畑勋 Isao Takahata,1988,411354人评价,幸福是生生不息，却难以触及的远。 
227,彗星来的那一夜,8.6,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,600789人评价,小成本大魅力。
228,奇迹男孩,8.6,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,561699人评价,世界不完美，爱会有奇迹。
